Timestamp,When was the last time you were on an airplane?,When was the last time you went out to a bar (indoors)?,When was the last time you went to a concert or show?,"If COVID was over tomorrow, what would you do?"
2/4/2021 14:53:10,12/27/2019,3/12/2020,3/7/2020,Dance!
2/4/2021 15:51:21,6/5/2019,6/3/2019,5/31/2019,"Buy a ticket and go to England. I had something planned and 2020 knocked it off my calendar indefinitely. (Yea, I may hold a bit of a grudge.)"
2/4/2021 16:18:32,3/12/2020,11/27/2019,10/22/2019,Hug my sister
2/4/2021 16:26:11,2/6/2019,6/20/2020,8/22/2019,Drive/fly to visit friends across the country. 
2/4/2021 17:03:57,3/18/2020,9/2/2020,12/31/2019,Fly to Italy
2/4/2021 17:43:08,2/15/2019,2/10/2020,12/20/2019,Go to some restaurants and eat nice nyc food and have boba tea from The Alley and meet my friends to hang out 
2/4/2021 18:36:24,3/14/2020,1/24/2020,2/6/2020,hug a friend
2/4/2021 19:14:26,1/27/2021,10/10/2020,2/24/2020,go to japan
2/4/2021 19:44:05,2/28/2020,2/26/2020,1/10/2020,See family/friends 
2/4/2021 20:05:57,12/21/2020,12/22/2020,3/14/2020,Visit friends and family abroad
2/4/2021 20:40:50,8/4/2020,3/10/2020,3/27/2020,"Take off work, go out to a restaurant, then a bar with old friends, new friends and all the strangers in between and then go dancing"
2/5/2021 4:35:20,11/17/2020,3/15/2020,3/12/2020,have friends over to my house
2/5/2021 5:02:41,11/30/2019,11/15/2019,10/10/2019,Go to a musical or play
2/5/2021 8:43:45,3/12/2020,3/12/2020,10/12/2019,Get on a plane and go on vacation. 
